"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8518","Verify that the user can log in with valid email address and password","","Tue Jun 24 11:50:17 IST 2025","passed","Tue Jun 24 11:50:25 IST 2025","","","",""
"","7514","Verify that the user can log in with valid email address and password","","Tue Jun 24 11:50:17 IST 2025","passed","Tue Jun 24 11:50:25 IST 2025","","Login feature","Verify that the user can log in with valid email address and password",""
